loggernet_variable,cr1000_name,var_type,link,research_name,logger,type,definition
B_TargetDIF(4),b_targetdif4,treatment,eT3,b_targetdif,c3log,number,delta from b_target
batt_CHECK,batt_check,site,logger,batt_check,c3log,character,message if battery is below 12v
batt_CHECK,batt_check,site,logger,batt_check,c4log,character,message if battery is below 12v
BTarget(1),btarget1,treatment,T1,btarget,c3log,number, warming target set point (delta in Celcius)
BTarget(1),btarget1,treatment,T1,btarget,c4log,number, warming target set point (delta in Celcius)
BTarget(2),btarget2,treatment,T2,btarget,c3log,number, warming target set point (delta in Celcius)
BTarget(2),btarget2,treatment,T2,btarget,c4log,number, warming target set point (delta in Celcius)
BTarget(3),btarget3,treatment,T3,btarget,c3log,number, warming target set point (delta in Celcius)
BTarget(3),btarget3,treatment,T3,btarget,c4log,number, warming target set point (delta in Celcius)
BTarget(4),btarget4,treatment,eT3,btarget,c3log,number, warming target set point (delta in Celcius)
Btemp_T_Avg(1),btemp_t_avg1,y,310,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(1),btemp_t_avg1,y,440,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(10),btemp_t_avg10,y,313,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(10),btemp_t_avg10,y,443,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(11),btemp_t_avg11,y,323,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(11),btemp_t_avg11,y,453,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(12),btemp_t_avg12,y,333,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(12),btemp_t_avg12,y,463,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(13),btemp_t_avg13,y,610,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(14),btemp_t_avg14,y,620,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(15),btemp_t_avg15,y,630,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(16),btemp_t_avg16,y,613,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(17),btemp_t_avg17,y,623,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(18),btemp_t_avg18,y,633,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(19),btemp_t_avg19,y,310,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(19),btemp_t_avg19,y,440,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(2),btemp_t_avg2,y,320,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(2),btemp_t_avg2,y,450,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(20),btemp_t_avg20,y,320,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(20),btemp_t_avg20,y,450,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(21),btemp_t_avg21,y,330,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(21),btemp_t_avg21,y,460,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(22),btemp_t_avg22,y,311,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(22),btemp_t_avg22,y,441,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(23),btemp_t_avg23,y,321,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(23),btemp_t_avg23,y,451,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(24),btemp_t_avg24,y,331,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(24),btemp_t_avg24,y,461,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(25),btemp_t_avg25,y,312,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(25),btemp_t_avg25,y,442,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(26),btemp_t_avg26,y,322,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(26),btemp_t_avg26,y,452,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(27),btemp_t_avg27,y,332,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(27),btemp_t_avg27,y,462,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(28),btemp_t_avg28,y,313,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(28),btemp_t_avg28,y,443,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(29),btemp_t_avg29,y,323,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(29),btemp_t_avg29,y,453,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(3),btemp_t_avg3,y,330,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(3),btemp_t_avg3,y,460,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(30),btemp_t_avg30,y,333,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(30),btemp_t_avg30,y,463,lagtemp_avg,c4log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(31),btemp_t_avg31,y,610,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(32),btemp_t_avg32,y,620,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(33),btemp_t_avg33,y,630,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(34),btemp_t_avg34,y,613,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(35),btemp_t_avg35,y,623,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(36),btemp_t_avg36,y,633,lagtemp_avg,c3log,number,variable of record for belowground lag position temperature in plots (celcius)
Btemp_T_Avg(4),btemp_t_avg4,y,311,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(4),btemp_t_avg4,y,441,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(5),btemp_t_avg5,y,321,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(5),btemp_t_avg5,y,451,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(6),btemp_t_avg6,y,331,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(6),btemp_t_avg6,y,461,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(7),btemp_t_avg7,y,312,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(7),btemp_t_avg7,y,442,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(8),btemp_t_avg8,y,322,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(8),btemp_t_avg8,y,452,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(9),btemp_t_avg9,y,332,pintemp_avg,c3log,number,variable of record for belowground pin position temperature in plots (celcius)
Btemp_T_Avg(9),btemp_t_avg9,y,462,pintemp_avg,c4log,number,variable of record for belowground pin position temperature in plots (celcius)
DEV_A(1),dev_a1,treatment,T1,dev_a,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(1),dev_a1,treatment,T1,dev_a,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(2),dev_a2,treatment,T2,dev_a,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(2),dev_a2,treatment,T2,dev_a,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(3),dev_a3,treatment,T3,dev_a,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(3),dev_a3,treatment,T3,dev_a,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A(4),dev_a4,treatment,eT3,dev_a,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(1),dev_a_avg1,treatment,T1,dev_a_avg,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(1),dev_a_avg1,treatment,T1,dev_a_avg,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(2),dev_a_avg2,treatment,T2,dev_a_avg,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(2),dev_a_avg2,treatment,T2,dev_a_avg,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(3),dev_a_avg3,treatment,T3,dev_a_avg,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(3),dev_a_avg3,treatment,T3,dev_a_avg,c4log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Avg(4),dev_a_avg4,treatment,eT3,dev_a_avg,c3log,number,proportional deviation from a_target (a_target-delta/ a_target)
DEV_A_Error(1),dev_a_error1,treatment,T1,dev_a_error,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(1),dev_a_error1,treatment,T1,dev_a_error,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(2),dev_a_error2,treatment,T2,dev_a_error,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(2),dev_a_error2,treatment,T2,dev_a_error,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(3),dev_a_error3,treatment,T3,dev_a_error,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(3),dev_a_error3,treatment,T3,dev_a_error,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
DEV_A_Error(4),dev_a_error4,treatment,eT3,dev_a_error,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over 2 minutes
Dev_A_Proj1(1),dev_a_proj11,treatment,T1,dev_a_proj1,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(1),dev_a_proj11,treatment,T1,dev_a_proj1,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(2),dev_a_proj12,treatment,T2,dev_a_proj1,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(2),dev_a_proj12,treatment,T2,dev_a_proj1,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(3),dev_a_proj13,treatment,T3,dev_a_proj1,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(3),dev_a_proj13,treatment,T3,dev_a_proj1,c4log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj1(4),dev_a_proj14,treatment,eT3,dev_a_proj1,c3log,number,DIF_A_PRE5(k) - DIF_A(k) =  error in difference over1 minutes
Dev_A_Proj2(1),dev_a_proj21,treatment,T1,dev_a_proj2,c3log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(1),dev_a_proj21,treatment,T1,dev_a_proj2,c4log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(2),dev_a_proj22,treatment,T2,dev_a_proj2,c3log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(2),dev_a_proj22,treatment,T2,dev_a_proj2,c4log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(3),dev_a_proj23,treatment,T3,dev_a_proj2,c3log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(3),dev_a_proj23,treatment,T3,dev_a_proj2,c4log,number,90 second projection of deviance based on difproj2
Dev_A_Proj2(4),dev_a_proj24,treatment,eT3,dev_a_proj2,c3log,number,90 second projection of deviance based on difproj2
DIF_A(1),dif_a1,treatment,T1,dif_a,c3log,number, delta from a_target
DIF_A(1),dif_a1,treatment,T1,dif_a,c4log,number,delta from a_target
DIF_A(2),dif_a2,treatment,T2,dif_a,c3log,number,delta from a_target
DIF_A(2),dif_a2,treatment,T2,dif_a,c4log,number,delta from a_target
DIF_A(3),dif_a3,treatment,T3,dif_a,c3log,number,delta from a_target
DIF_A(3),dif_a3,treatment,T3,dif_a,c4log,number,delta from a_target
DIF_A(4),dif_a4,treatment,eT3,dif_a,c3log,number,delta from a_target
DIF_A_Avg(1),dif_a_avg1,treatment,T1,dif_a_avg,c3log,number,delta from a_target
DIF_A_Avg(1),dif_a_avg1,treatment,T1,dif_a_avg,c4log,number,delta from a_target
DIF_A_Avg(2),dif_a_avg2,treatment,T2,dif_a_avg,c3log,number,delta from a_target
DIF_A_Avg(2),dif_a_avg2,treatment,T2,dif_a_avg,c4log,number,delta from a_target
DIF_A_Avg(3),dif_a_avg3,treatment,T3,dif_a_avg,c3log,number,delta from a_target
DIF_A_Avg(3),dif_a_avg3,treatment,T3,dif_a_avg,c4log,number,delta from a_target
DIF_A_Avg(4),dif_a_avg4,treatment,eT3,dif_a_avg,c3log,number,delta from a_target
Dif_A_Proj1(1),dif_a_proj11,treatment,T1,dif_a_proj1,c3log,number,projected  delta 
Dif_A_Proj1(1),dif_a_proj11,treatment,T1,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj1(2),dif_a_proj12,treatment,T2,dif_a_proj1,c3log,number,projected  delta 
Dif_A_Proj1(2),dif_a_proj12,treatment,T2,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj1(3),dif_a_proj13,treatment,T3,dif_a_proj1,c3log,number,projected  delta 
Dif_A_Proj1(3),dif_a_proj13,treatment,T3,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj1(4),dif_a_proj14,treatment,eT3,dif_a_proj1,c3log,number,projected  delta 
Dif_A_Proj2(1),dif_a_proj21,treatment,T1,dif_a_proj2,c3log,number,projected  delta 
Dif_A_Proj2(1),dif_a_proj21,treatment,T1,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj2(2),dif_a_proj22,treatment,T2,dif_a_proj2,c3log,number,projected  delta 
Dif_A_Proj2(2),dif_a_proj22,treatment,T2,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj2(3),dif_a_proj23,treatment,T3,dif_a_proj2,c3log,number,projected  delta 
Dif_A_Proj2(3),dif_a_proj23,treatment,T3,dif_a_proj,c4log,number,projected  delta 
Dif_A_Proj2(4),dif_a_proj24,treatment,eT3,dif_a_proj2,c3log,number,projected  delta 
DIF_B(1),dif_b1,treatment,T1,dif_b,c3log,number,delta from b_target
DIF_B(1),dif_b1,treatment,T1,dif_b,c4log,number,delta from b_target
DIF_B(2),dif_b2,treatment,T2,dif_b,c3log,number,delta from b_target
DIF_B(2),dif_b2,treatment,T2,dif_b,c4log,number,delta from b_target
DIF_B(3),dif_b3,treatment,T3,dif_b,c3log,number,delta from b_target
DIF_B(3),dif_b3,treatment,T3,dif_b,c4log,number,delta from b_target
DIF_B(4),dif_b4,treatment,eT3,dif_b,c3log,number,delta from b_target
DIF_B_Avg(1),dif_b_avg1,treatment,T1,dif_b_avg,c3log,number,delta from b_target
DIF_B_Avg(1),dif_b_avg1,treatment,T1,dif_b_avg,c4log,number,delta from b_target
DIF_B_Avg(2),dif_b_avg2,treatment,T2,dif_b_avg,c3log,number,delta from b_target
DIF_B_Avg(2),dif_b_avg2,treatment,T2,dif_b_avg,c4log,number,delta from b_target
DIF_B_Avg(3),dif_b_avg3,treatment,T3,dif_b_avg,c3log,number,delta from b_target
DIF_B_Avg(3),dif_b_avg3,treatment,T3,dif_b_avg,c4log,number,delta from b_target
DIF_B_Avg(4),dif_b_avg4,treatment,eT3,dif_b_avg,c3log,number,delta from b_target
DIF_P(1),dif_p1,treatment,T1,dif_p,c3log,number,delta of difference between lag and pin
DIF_P(1),dif_p1,treatment,T1,dif_p,c4log,number,delta of difference between lag and pin
DIF_P(2),dif_p2,treatment,T2,dif_p,c3log,number,delta of difference between lag and pin
DIF_P(2),dif_p2,treatment,T2,dif_p,c4log,number,delta of difference between lag and pin
DIF_P(3),dif_p3,treatment,T3,dif_p,c3log,number,delta of difference between lag and pin
DIF_P(3),dif_p3,treatment,T3,dif_p,c4log,number,delta of difference between lag and pin
DIF_P(4),dif_p4,treatment,eT3,dif_p,c3log,number,delta of difference between lag and pin
DIF_P_Avg(1),dif_p_avg1,treatment,T1,dif_p_avg,c3log,number,delta of difference between lag and pin
DIF_P_Avg(1),dif_p_avg1,treatment,T1,dif_p_avg,c4log,number,delta of difference between lag and pin
DIF_P_Avg(2),dif_p_avg2,treatment,T2,dif_p_avg,c3log,number,delta of difference between lag and pin
DIF_P_Avg(2),dif_p_avg2,treatment,T2,dif_p_avg,c4log,number,delta of difference between lag and pin
DIF_P_Avg(3),dif_p_avg3,treatment,T3,dif_p_avg,c3log,number,delta of difference between lag and pin
DIF_P_Avg(3),dif_p_avg3,treatment,T3,dif_p_avg,c4log,number,delta of difference between lag and pin
DIF_P_Avg(4),dif_p_avg4,treatment,eT3,dif_p_avg,c3log,number,delta of difference between lag and pin
Dtemp_T_Avg(1),dtemp_t_avg1,y,310,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(10),dtemp_t_avg10,y,313,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(11),dtemp_t_avg11,y,323,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(12),dtemp_t_avg12,y,333,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(13),dtemp_t_avg13,y,610,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(14),dtemp_t_avg14,y,620,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(15),dtemp_t_avg15,y,630,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(16),dtemp_t_avg16,y,613,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(17),dtemp_t_avg17,y,623,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(18),dtemp_t_avg18,y,633,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(2),dtemp_t_avg2,y,320,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(3),dtemp_t_avg3,y,330,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(4),dtemp_t_avg4,y,311,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(5),dtemp_t_avg5,y,321,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(6),dtemp_t_avg6,y,331,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(7),dtemp_t_avg7,y,312,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(8),dtemp_t_avg8,y,322,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(9),dtemp_t_avg9,y,332,deeptemp_avg,c3log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(1),dtemp_t_avg1,y,440,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(10),dtemp_t_avg10,y,443,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(11),dtemp_t_avg11,y,453,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(12),dtemp_t_avg12,y,463,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(2),dtemp_t_avg2,y,450,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(3),dtemp_t_avg3,y,460,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(4),dtemp_t_avg4,y,441,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(5),dtemp_t_avg5,y,451,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(6),dtemp_t_avg6,y,461,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(7),dtemp_t_avg7,y,442,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(8),dtemp_t_avg8,y,452,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Dtemp_T_Avg(9),dtemp_t_avg9,y,462,deeptemp_avg,c4log,number,variable of record for belowground deep position temperature in plots (celcius)
Flag(1),flag1,site,logger,flag1,c3log,number,treatments all on (-1)
Flag(1),flag1,site,logger,flag1,c4log,number,treatments all on (-1)
Flag(10),flag10,site,logger,flag10,c3log,number,A_dc diagnostic mode(-1)
Flag(10),flag10,site,logger,flag10,c4log,number,A_dc diagnostic mode(-1)
Flag(11),flag11,site,logger,flag11,c3log,number,Arduino diagnostic mode = full power(-1)
Flag(11),flag11,site,logger,flag11,c4log,number,Arduino diagnostic mode = full power(-1)
Flag(12),flag12,site,logger,flag12,c3log,number,Custom power output based on LIMIT varaiable (-1)
Flag(12),flag12,site,logger,flag12,c4log,number,Custom power output based on LIMIT varaiable (-1)
Flag(13),flag13,site,logger,flag13,c3log,number,MODE FOR REDOX/ nonAC measurements (-1)
Flag(13),flag13,site,logger,flag13,c4log,number,MODE FOR REDOX/ nonAC measurements (-1)
Flag(14),flag14,site,logger,flag14,c3log,number,temporary power to 70%
Flag(14),flag14,site,logger,flag14,c4log,number,temporary power to 70%
Flag(15),flag15,site,logger,flag15,c3log,number,ch4 table
Flag(15),flag15,site,logger,flag15,c4log,number,ch4 table
Flag(16),flag16,site,logger,flag16,c3log,number,not assigned
Flag(16),flag16,site,logger,flag16,c4log,number,not assigned
Flag(17),flag17,site,logger,flag17,c3log,number,not assigned
Flag(17),flag17,site,logger,flag17,c4log,number,not assigned
Flag(18),flag18,site,logger,flag18,c3log,number,not assigned
Flag(18),flag18,site,logger,flag18,c4log,number,not assigned
Flag(19),flag19,site,logger,flag19,c3log,number,not assigned
Flag(19),flag19,site,logger,flag19,c4log,number,not assigned
Flag(2),flag2,site,logger,flag2,c3log,number,above treatments all on (-1)
Flag(2),flag2,site,logger,flag2,c4log,number,above treatments all on (-1)
Flag(20),flag20,site,logger,flag20,c3log,number,not assigned
Flag(20),flag20,site,logger,flag20,c4log,number,not assigned
Flag(3),flag3,site,logger,flag3,c3log,number,below treatments on (-1)
Flag(3),flag3,site,logger,flag3,c4log,number,below treatments on (-1)
Flag(4),flag4,site,logger,flag4,c3log,number,allow arduinos to receive duty cycle (-1)
Flag(4),flag4,site,logger,flag4,c4log,number,allow arduinos to receive duty cycle (-1)
Flag(5),flag5,site,logger,flag5,c3log,number,high winds
Flag(5),flag5,site,logger,flag5,c4log,number,high winds
Flag(6),flag6,site,logger,flag6,c3log,number,emergency mode
Flag(6),flag6,site,logger,flag6,c4log,number,emergency mode
Flag(7),flag7,site,logger,flag7,c3log,number,primer
Flag(7),flag7,site,logger,flag7,c4log,number,primer
Flag(8),flag8,site,logger,flag8,c3log,number,diagnostic mode
Flag(8),flag8,site,logger,flag8,c4log,number,diagnostic mode
Flag(9),flag9,site,logger,flag9,c3log,number,dc only mode
Flag(9),flag9,site,logger,flag9,c4log,number,dc only mode
HEAT_A(1),heat_a1,treatment,T1,heat_a,c3log,number,sample spatial average of aboveground temp
HEAT_A(1),heat_a1,treatment,T1,heat_a,c4log,number,sample spatial average of aboveground temp
HEAT_A(2),heat_a2,treatment,T2,heat_a,c3log,number,sample spatial average of aboveground temp
HEAT_A(2),heat_a2,treatment,T2,heat_a,c4log,number,sample spatial average of aboveground temp
HEAT_A(3),heat_a3,treatment,T3,heat_a,c3log,number,sample spatial average of aboveground temp
HEAT_A(3),heat_a3,treatment,T3,heat_a,c4log,number,sample spatial average of aboveground temp
HEAT_A(4),heat_a4,treatment,eT3,heat_a,c3log,number,sample spatial average of aboveground temp
HEAT_A_Avg(1),heat_a_avg1,treatment,T1,heat_a_avg,c3log,number,spatial average of aboveground temp
HEAT_A_Avg(1),heat_a_avg1,treatment,T1,heat_a_avg,c4log,number,spatial average of aboveground temp
HEAT_A_Avg(2),heat_a_avg2,treatment,T2,heat_a_avg,c3log,number,spatial average of aboveground temp
HEAT_A_Avg(2),heat_a_avg2,treatment,T2,heat_a_avg,c4log,number,spatial average of aboveground temp
HEAT_A_Avg(3),heat_a_avg3,treatment,T3,heat_a_avg,c3log,number,spatial average of aboveground temp
HEAT_A_Avg(3),heat_a_avg3,treatment,T3,heat_a_avg,c4log,number,spatial average of aboveground temp
HEAT_A_Avg(4),heat_a_avg4,treatment,eT3,heat_a_avg,c3log,number,spatial average of aboveground temp
HEAT_A_Std(1),heat_a_std1,treatment,T1,heat_a_std,c3log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(1),heat_a_std1,treatment,T1,heat_a_std,c4log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(2),heat_a_std2,treatment,T2,heat_a_std,c3log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(2),heat_a_std2,treatment,T2,heat_a_std,c4log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(3),heat_a_std3,treatment,T3,heat_a_std,c3log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(3),heat_a_std3,treatment,T3,heat_a_std,c4log,number,standard deviation of spatial avg of aboveground temp
HEAT_A_Std(4),heat_a_std4,treatment,eT3,heat_a_std,c3log,number,standard deviation of spatial avg of aboveground temp
HEAT_sort(1),heat_sort1,treatment,T1,heat_sort1,c3log,number,sorting variable (highest treatment)
HEAT_sort(1),heat_sort1,treatment,T1,heat_sort1,c4log,number,sorting variable (highest treatment)
